1294 19026
530 640 0.1
158 193 0.1
1172 311 0.1
933 709 0.1
536 17 0.1
1269 513 0.1
61 522 0.1
928 459 0.1
157 23 0.1
216 589 0.1
431 744 0.1
342 29 0.1
622 213 0.1
38 826 0.1
555 236 0.1
648 986 0.1
5 195 0.1
61 635 0.1
703 60 0.1
483 217 0.1
1172 21 0.1
18 334 0.1
454 586 0.1
311 1015 0.1
256 615 0.1
553 963 0.1
679 7 0.1
42 88 0.1
133 175 0.1
189 279 0.1
635 203 0.1
338 1247 0.1
216 363 0.1
469 7 0.1
436 368 0.1
184 137 0.1
511 668 0.1
554 447 0.1
1174 862 0.1
1077 1 0.1
284 188 0.1
216 282 0.1
87 553 0.1
397 379 0.1
553 765 0.1
61 974 0.1
83 618 0.1
501 263 0.1
249 342 0.1
564 27 0.1
268 744 0.1
86 355 0.1
60 266 0.1
813 836 0.1
705 91 0.1
743 519 0.1
501 168 0.1
1000 521 0.1
397 93 0.1
127 290 0.1
877 317 0.1
511 67 0.1
644 994 0.1
83 328 0.1
816 1195 0.1
35 557 0.1
235 901 0.1
571 751 0.1
913 7 0.1
1102 825 0.1
1124 977 0.1
3 11 0.1
131 94 0.1
386 897 0.1
519 775 0.1
210 701 0.1
173 455 0.1
463 157 0.1
7 1247 0.1
339 931 0.1
250 330 0.1
583 380 0.1
931 743 0.1
0 1111 0.1
956 18 0.1
595 338 0.1
1110 375 0.1
724 54 0.1
193 570 0.1
893 585 0.1
250 445 0.1
286 521 0.1
362 147 0.1
947 337 0.1
145 703 0.1
751 1067 0.1
110 1185 0.1
862 348 0.1
61 483 0.1
151 353 0.1
1075 77 0.1
931 965 0.1
1138 983 0.1
418 752 0.1
1 280 0.1
1193 506 0.1
19 979 0.1
3 438 0.1
110 1040 0.1
926 584 0.1
598 805 0.1
396 735 0.1
931 82 0.1
73 446 0.1
955 72 0.1
349 345 0.1
386 453 0.1
813 42 0.1
7 503 0.1
524 35 0.1
525 374 0.1
504 286 0.1
413 956 0.1
875 753 0.1
327 858 0.1
474 698 0.1
772 1253 0.1
880 649 0.1
1160 555 0.1
978 250 0.1
82 455 0.1
157 439 0.1
1206 434 0.1
50 553 0.1
34 162 0.1
380 800 0.1
733 868 0.1
536 288 0.1
220 345 0.1
1068 439 0.1
404 16 0.1
868 733 0.1
250 992 0.1
286 84 0.1
343 29 0.1
181 162 0.1
1195 572 0.1
275 293 0.1
327 1188 0.1
100 310 0.1
137 260 0.1
177 571 0.1
380 6 0.1
437 121 0.1
1077 203 0.1
259 889 0.1
593 243 0.1
404 374 0.1
980 1237 0.1
7 955 0.1
1014 1041 0.1
87 137 0.1
345 474 0.1
110 90 0.1
313 180 0.1
280 427 0.1
445 975 0.1
1015 813 0.1
47 623 0.1
263 610 0.1
468 528 0.1
1017 1180 0.1
1243 246 0.1
507 122 0.1
18 291 0.1
539 1043 0.1
501 584 0.1
1052 190 0.1
122 927 0.1
86 50 0.1
588 144 0.1
511 547 0.1
113 112 0.1
458 445 0.1
332 470 0.1
5 72 0.1
260 395 0.1
441 713 0.1
355 15 0.1
905 122 0.1
322 220 0.1
216 327 0.1
144 740 0.1
470 332 0.1
109 4 0.1
368 386 0.1
227 73 0.1
357 1050 0.1
598 72 0.1
743 1073 0.1
963 605 0.1
605 868 0.1
714 605 0.1
784 1208 0.1
18 84 0.1
47 163 0.1
503 445 0.1
160 269 0.1
749 453 0.1
622 813 0.1
661 1187 0.1
929 590 0.1
292 282 0.1
311 622 0.1
348 610 0.1
560 1082 0.1
151 193 0.1
616 390 0.1
743 555 0.1
1077 263 0.1
505 73 0.1
913 82 0.1
1 696 0.1
127 198 0.1
553 507 0.1
477 947 0.1
169 482 0.1
539 184 0.1
157 1077 0.1
635 275 0.1
816 1111 0.1
286 843 0.1
380 1186 0.1
16 347 0.1
729 218 0.1
622 527 0.1
1098 665 0.1
1231 615 0.1
1217 61 0.1
813 586 0.1
409 316 0.1
616 676 0.1
1060 605 0.1
193 405 0.1
151 276 0.1
425 554 0.1
46 58 0.1
598 615 0.1
782 622 0.1
253 910 0.1
1048 1196 0.1
842 189 0.1
168 324 0.1
22 35 0.1
97 98 0.1
23 862 0.1
7 309 0.1
337 435 0.1
387 738 0.1
1038 351 0.1
858 887 0.1
250 576 0.1
399 703 0.1
516 589 0.1
110 1068 0.1
953 1133 0.1
386 310 0.1
759 1077 0.1
1112 162 0.1
7 330 0.1
1186 889 0.1
230 17 0.1
124 524 0.1
177 411 0.1
231 808 0.1
304 147 0.1
235 429 0.1
709 60 0.1
21 218 0.1
42 811 0.1
132 937 0.1
404 214 0.1
1090 745 0.1
599 541 0.1
1114 1251 0.1
619 323 0.1
108 1048 0.1
822 484 0.1
110 570 0.1
220 398 0.1
276 392 0.1
243 87 0.1
153 323 0.1
121 567 0.1
195 216 0.1
784 427 0.1
343 432 0.1
0 474 0.1
1160 1122 0.1
38 646 0.1
333 122 0.1
1036 249 0.1
210 263 0.1
1151 822 0.1
251 721 0.1
124 321 0.1
158 127 0.1
1248 127 0.1
826 205 0.1
76 476 0.1
370 193 0.1
495 474 0.1
405 974 0.1
928 533 0.1
1172 376 0.1
253 276 0.1
0 248 0.1
39 185 0.1
242 7 0.1
205 145 0.1
333 348 0.1
350 662 0.1
1148 655 0.1
392 370 0.1
122 721 0.1
263 561 0.1
525 862 0.1
160 1022 0.1
929 189 0.1
17 923 0.1
1025 106 0.1
588 470 0.1
1172 239 0.1
399 17 0.1
293 574 0.1
139 1160 0.1
392 193 0.1
1038 1060 0.1
322 30 0.1
160 877 0.1
858 124 0.1
929 46 0.1
0 774 0.1
311 910 0.1
754 61 0.1
1195 343 0.1
60 654 0.1
114 476 0.1
332 107 0.1
349 1027 0.1
192 574 0.1
393 249 0.1
216 436 0.1
929 927 0.1
622 124 0.1
159 774 0.1
643 665 0.1
644 358 0.1
220 784 0.1
60 637 0.1
42 16 0.1
688 610 0.1
427 470 0.1
122 802 0.1
707 286 0.1
30 625 0.1
14 154 0.1
216 291 0.1
549 559 0.1
1048 194 0.1
0 548 0.1
455 508 0.1
535 524 0.1
166 113 0.1
169 147 0.1
42 163 0.1
501 334 0.1
411 122 0.1
284 228 0.1
820 470 0.1
913 284 0.1
622 862 0.1
970 455 0.1
18 952 0.1
643 439 0.1
863 16 0.1
169 60 0.1
429 626 0.1
268 688 0.1
30 787 0.1
86 427 0.1
142 361 0.1
195 848 0.1
364 73 0.1
1160 250 0.1
717 715 0.1
95 203 0.1
539 279 0.1
64 181 0.1
279 16 0.1
157 1128 0.1
18 858 0.1
956 1012 0.1
260 931 0.1
960 511 0.1
192 105 0.1
7 1174 0.1
545 555 0.1
106 931 0.1
908 887 0.1
16 327 0.1
1077 396 0.1
363 16 0.1
1031 1187 0.1
60 16 0.1
739 333 0.1
374 688 0.1
212 203 0.1
343 931 0.1
235 218 0.1
413 1100 0.1
415 470 0.1
515 60 0.1
568 611 0.1
115 512 0.1
740 1077 0.1
1164 407 0.1
524 822 0.1
158 524 0.1
175 438 0.1
585 800 0.1
235 363 0.1
839 623 0.1
1172 1238 0.1
220 221 0.1
202 368 0.1
862 276 0.1
1215 784 0.1
405 445 0.1
339 185 0.1
785 439 0.1
718 503 0.1
332 662 0.1
59 54 0.1
827 220 0.1
847 17 0.1
862 679 0.1
392 835 0.1
282 347 0.1
157 605 0.1
230 61 0.1
1058 1084 0.1
159 243 0.1
94 1192 0.1
571 211 0.1
348 168 0.1
8 1203 0.1
279 698 0.1
524 235 0.1
121 610 0.1
84 594 0.1
618 218 0.1
943 659 0.1
110 470 0.1
220 402 0.1
366 956 0.1
609 501 0.1
61 1170 0.1
404 89 0.1
188 752 0.1
1091 1229 0.1
300 474 0.1
48 3 0.1
618 109 0.1
784 407 0.1
303 1185 0.1
253 470 0.1
641 50 0.1
110 321 0.1
966 931 0.1
1269 266 0.1
572 622 0.1
523 50 0.1
1293 522 0.1
565 659 0.1
323 24 0.1
730 722 0.1
215 30 0.1
929 383 0.1
1212 958 0.1
39 204 0.1
205 36 0.1
404 447 0.1
648 1077 0.1
190 328 0.1
650 435 0.1
263 388 0.1
1172 284 0.1
513 1001 0.1
0 196 0.1
147 151 0.1
518 122 0.1
975 945 0.1
284 260 0.1
673 227 0.1
470 59 0.1
18 472 0.1
1157 593 0.1
1248 889 0.1
539 774 0.1
777 157 0.1
280 483 0.1
924 980 0.1
427 276 0.1
483 188 0.1
545 425 0.1
599 218 0.1
506 263 0.1
854 413 0.1
17 528 0.1
52 143 0.1
18 363 0.1
380 300 0.1
610 753 0.1
1100 413 0.1
648 910 0.1
646 361 0.1
407 447 0.1
376 1255 0.1
1041 841 0.1
584 736 0.1
235 604 0.1
511 763 0.1
458 501 0.1
296 488 0.1
60 513 0.1
294 87 0.1
61 824 0.1
574 927 0.1
905 178 0.1
942 931 0.1
598 1 0.1
1012 956 0.1
29 282 0.1
322 260 0.1
1017 610 0.1
342 835 0.1
270 28 0.1
18 13 0.1
218 469 0.1
19 284 0.1
401 147 0.1
22 589 0.1
1031 1007 0.1
905 259 0.1
501 290 0.1
193 17 0.1
263 985 0.1
484 560 0.1
1244 930 0.1
605 684 0.1
566 722 0.1
0 703 0.1
19 397 0.1
113 282 0.1
203 408 0.1
539 322 0.1
593 528 0.1
627 928 0.1
758 330 0.1
216 93 0.1
472 455 0.1
127 265 0.1
364 173 0.1
1175 593 0.1
60 214 0.1
169 425 0.1
630 176 0.1
829 21 0.1
232 1043 0.1
230 514 0.1
931 637 0.1
16 276 0.1
35 560 0.1
235 920 0.1
127 158 0.1
182 673 0.1
202 35 0.1
311 455 0.1
3 46 0.1
398 610 0.1
169 314 0.1
516 193 0.1
757 819 0.1
1031 1142 0.1
1107 1012 0.1
213 929 0.1
822 1009 0.1
71 455 0.1
751 1185 0.1
19 728 0.1
130 439 0.1
862 470 0.1
23 160 0.1
24 1090 0.1
478 479 0.1
83 397 0.1
903 528 0.1
598 572 0.1
286 530 0.1
396 470 0.1
983 1138 0.1
328 484 0.1
258 19 0.1
121 179 0.1
784 55 0.1
1022 875 0.1
908 932 0.1
201 203 0.1
550 514 0.1
516 630 0.1
865 60 0.1
387 570 0.1
851 1 0.1
616 922 0.1
1186 1050 0.1
361 269 0.1
1280 1115 0.1
107 273 0.1
732 772 0.1
110 656 0.1
931 953 0.1
310 470 0.1
132 978 0.1
367 291 0.1
439 246 0.1
831 720 0.1
976 1026 0.1
1148 1180 0.1
727 515 0.1
893 887 0.1
784 213 0.1
182 156 0.1
18 1173 0.1
201 293 0.1
21 18 0.1
816 198 0.1
120 211 0.1
871 800 0.1
230 168 0.1
215 220 0.1
270 755 0.1
931 151 0.1
474 342 0.1
1160 1195 0.1
42 626 0.1
495 60 0.1
82 371 0.1
524 286 0.1
266 122 0.1
1171 1025 0.1
0 386 0.1
54 245 0.1
38 718 0.1
73 588 0.1
718 28 0.1
186 437 0.1
827 311 0.1
225 665 0.1
390 203 0.1
118 1228 0.1
654 1112 0.1
857 1100 0.1
