34 78
0 1 0.2
0 2 0.2
0 3 0.2
0 4 0.2
0 5 0.2
0 6 0.2
0 7 0.2
0 8 0.2
0 10 0.2
0 11 0.2
0 12 0.2
0 13 0.2
0 17 0.2
0 19 0.2
0 21 0.2
0 31 0.2
1 2 0.2
1 3 0.2
1 7 0.2
1 13 0.2
1 17 0.2
1 19 0.2
1 21 0.2
1 30 0.2
2 3 0.2
2 7 0.2
2 8 0.2
2 9 0.2
2 13 0.2
2 27 0.2
2 28 0.2
2 32 0.2
3 7 0.2
3 12 0.2
3 13 0.2
4 6 0.2
4 10 0.2
5 6 0.2
5 10 0.2
5 16 0.2
6 16 0.2
8 30 0.2
8 32 0.2
8 33 0.2
9 33 0.2
13 33 0.2
14 32 0.2
14 33 0.2
15 32 0.2
15 33 0.2
18 32 0.2
18 33 0.2
19 33 0.2
20 32 0.2
20 33 0.2
22 32 0.2
22 33 0.2
23 25 0.2
23 27 0.2
23 29 0.2
23 32 0.2
23 33 0.2
24 25 0.2
24 27 0.2
24 31 0.2
25 31 0.2
26 29 0.2
26 33 0.2
27 33 0.2
28 31 0.2
28 33 0.2
29 32 0.2
29 33 0.2
30 32 0.2
30 33 0.2
31 32 0.2
31 33 0.2
32 33 0.2
