#ignore first line
1 2 0.1111111111111111
1 4 0.25
1 5 0.25
2 1 0.14285714285714285
2 3 0.25
2 4 0.25
2 6 0.1
3 2 0.1111111111111111
3 6 0.1
4 1 0.14285714285714285
4 2 0.1111111111111111
5 1 0.14285714285714285
5 13 0.03225806451612903
6 9 0.25
6 2 0.1111111111111111
6 3 0.25
6 7 0.25
6 8 0.5
7 10 0.14285714285714285
7 6 0.1
8 6 0.1
9 12 0.25
9 6 0.1
10 11 0.25
10 13 0.03225806451612903
10 7 0.25
11 10 0.14285714285714285
11 12 0.25
12 9 0.25
12 11 0.25
13 2 0.1111111111111111
13 5 0.25
13 70 0.2
13 10 0.14285714285714285
13 14 0.045454545454545456
13 16 0.3333333333333333
13 82 0.1
13 115 0.2
13 20 0.25
13 54 0.16666666666666666
13 185 0.25
13 165 0.14285714285714285
13 27 0.14285714285714285
13 28 0.09090909090909091
13 224 0.07142857142857142
14 465 0.06666666666666667
14 18 0.125
14 60 0.1
14 22 0.058823529411764705
14 215 0.2
14 25 0.07142857142857142
14 29 0.045454545454545456
14 44 0.038461538461538464
14 13 0.03225806451612903
14 38 0.14285714285714285
15 37 0.0625
15 39 0.1
15 40 0.09090909090909091
15 14 0.045454545454545456
15 17 0.07692307692307693
15 50 0.0625
15 179 0.16666666666666666
15 21 0.09090909090909091
15 118 0.16666666666666666
15 23 0.058823529411764705
15 26 0.1
15 30 0.07142857142857142
15 32 0.125
16 13 0.03225806451612903
17 19 0.3333333333333333
17 37 0.0625
17 55 0.1
17 41 0.1
17 92 0.5
17 15 0.03571428571428571
18 58 0.125
18 29 0.045454545454545456
18 14 0.045454545454545456
18 23 0.058823529411764705
19 17 0.07692307692307693
20 129 0.2
20 13 0.03225806451612903
21 118 0.16666666666666666
21 45 0.5
21 23 0.058823529411764705
21 15 0.03571428571428571
21 24 0.125
22 35 0.1
22 69 0.5
22 206 0.25
22 125 0.09090909090909091
22 14 0.045454545454545456
22 191 0.16666666666666666
22 96 0.07692307692307693
23 18 0.125
23 147 0.16666666666666666
23 21 0.09090909090909091
23 39 0.1
23 128 0.125
23 30 0.07142857142857142
23 15 0.03571428571428571
23 112 0.25
24 49 0.125
24 21 0.09090909090909091
24 86 0.25
24 176 0.16666666666666666
25 97 0.16666666666666666
25 85 0.125
25 22 0.058823529411764705
25 154 0.25
25 75 0.14285714285714285
25 14 0.045454545454545456
25 150 0.5
26 33 0.07142857142857142
26 179 0.16666666666666666
26 40 0.09090909090909091
26 15 0.03571428571428571
26 32 0.125
27 101 0.5
27 13 0.03225806451612903
27 87 0.14285714285714285
27 16 0.3333333333333333
28 177 0.125
28 482 0.06666666666666667
28 13 0.03225806451612903
28 102 0.08333333333333333
29 18 0.125
29 84 0.07692307692307693
29 36 0.09090909090909091
29 95 0.05555555555555555
29 212 0.16666666666666666
29 59 0.05555555555555555
29 188 0.16666666666666666
29 14 0.045454545454545456
29 79 0.05555555555555555
29 78 0.125
30 81 0.25
30 15 0.03571428571428571
30 39 0.1
30 105 0.1
30 23 0.058823529411764705
30 31 0.1
31 98 0.5
31 140 0.5
31 30 0.07142857142857142
31 72 0.14285714285714285
32 26 0.1
32 179 0.16666666666666666
32 15 0.03571428571428571
33 50 0.0625
33 37 0.0625
33 55 0.1
33 41 0.1
33 26 0.1
33 61 0.2
33 15 0.03571428571428571
33 32 0.125
34 153 0.16666666666666666
34 53 0.2
34 29 0.045454545454545456
35 89 0.25
35 42 0.125
35 125 0.09090909090909091
35 22 0.058823529411764705
35 30 0.07142857142857142
36 188 0.16666666666666666
36 29 0.045454545454545456
36 78 0.125
36 79 0.05555555555555555
36 212 0.16666666666666666
37 17 0.07692307692307693
37 33 0.07142857142857142
37 19 0.3333333333333333
37 50 0.0625
37 218 0.14285714285714285
37 77 0.25
37 15 0.03571428571428571
37 208 0.3333333333333333
38 60 0.1
38 14 0.045454545454545456
38 262 0.14285714285714285
39 219 0.16666666666666666
39 23 0.058823529411764705
39 15 0.03571428571428571
39 30 0.07142857142857142
40 26 0.1
40 91 0.2
40 108 0.25
40 15 0.03571428571428571
41 17 0.07692307692307693
41 33 0.07142857142857142
41 74 0.07142857142857142
41 15 0.03571428571428571
41 65 0.5
42 89 0.25
42 35 0.1
42 43 0.029411764705882353
42 96 0.07692307692307693
43 35 0.1
43 68 0.25
43 74 0.07142857142857142
43 107 0.0625
43 67 0.07142857142857142
43 47 0.14285714285714285
43 14 0.045454545454545456
43 145 0.14285714285714285
43 149 0.1
43 214 0.14285714285714285
43 42 0.125
43 57 0.07692307692307693
43 59 0.05555555555555555
43 48 0.08333333333333333
43 127 0.25
43 64 0.1
44 131 0.125
44 52 0.09090909090909091
44 167 0.2
44 71 0.06666666666666667
44 56 0.08333333333333333
44 104 0.14285714285714285
44 93 0.1111111111111111
44 14 0.045454545454545456
44 63 0.07692307692307693
44 126 0.2
45 21 0.09090909090909091
46 145 0.14285714285714285
46 164 0.125
46 149 0.1
46 214 0.14285714285714285
46 58 0.125
46 43 0.029411764705882353
46 480 0.1111111111111111
46 107 0.0625
46 222 0.2
47 43 0.029411764705882353
47 107 0.0625
48 43 0.029411764705882353
48 47 0.14285714285714285
48 64 0.1
49 137 0.25
49 176 0.16666666666666666
49 86 0.25
49 24 0.125
50 33 0.07142857142857142
50 51 0.09090909090909091
50 132 0.25
