500 1698
0 1 0.16666666666666666
0 5 0.06666666666666667
1 0 0.25
1 2 0.2
1 5 0.06666666666666667
2 1 0.16666666666666666
2 4 0.25
3 2 0.2
3 12 0.038461538461538464
4 2 0.2
4 12 0.038461538461538464
5 0 0.25
5 1 0.16666666666666666
5 6 0.16666666666666666
5 8 0.5
5 9 0.5
5 10 0.25
5 11 0.25
6 12 0.038461538461538464
6 5 0.06666666666666667
6 7 0.5
7 6 0.16666666666666666
8 5 0.06666666666666667
9 5 0.06666666666666667
10 11 0.25
10 5 0.06666666666666667
11 10 0.25
11 5 0.06666666666666667
12 35 0.08333333333333333
12 3 0.3333333333333333
12 4 0.25
12 6 0.16666666666666666
12 87 0.06666666666666667
12 13 0.047619047619047616
12 78 0.125
12 16 0.25
12 19 0.14285714285714285
12 23 0.0625
12 60 0.125
12 211 0.5
13 76 0.14285714285714285
13 18 0.043478260869565216
13 21 0.08333333333333333
13 47 0.14285714285714285
13 27 0.09090909090909091
13 12 0.038461538461538464
13 101 0.1
13 14 0.03571428571428571
13 15 0.08333333333333333
14 32 0.05555555555555555
14 36 0.07692307692307693
14 49 0.1
14 72 0.16666666666666666
14 41 0.25
14 75 0.125
14 492 0.05
14 13 0.047619047619047616
14 45 0.1111111111111111
14 17 0.058823529411764705
14 18 0.043478260869565216
14 169 0.2
14 26 0.05555555555555555
15 76 0.14285714285714285
15 44 0.1
15 13 0.047619047619047616
15 22 0.2
15 101 0.1
16 12 0.038461538461538464
17 80 0.16666666666666666
17 160 0.25
17 142 0.25
17 70 0.1111111111111111
17 138 0.25
17 14 0.03571428571428571
18 50 0.2
18 68 0.125
18 37 0.05555555555555555
18 135 0.125
18 24 0.08333333333333333
18 57 0.125
18 62 0.0625
18 28 0.09090909090909091
18 13 0.047619047619047616
18 14 0.03571428571428571
18 61 0.06666666666666667
19 136 0.16666666666666666
19 20 0.1
19 12 0.038461538461538464
20 98 0.2
20 19 0.14285714285714285
20 106 0.09090909090909091
20 118 0.06666666666666667
20 263 0.03333333333333333
21 47 0.14285714285714285
21 46 0.16666666666666666
21 13 0.047619047619047616
21 30 0.041666666666666664
21 39 0.125
22 101 0.1
22 15 0.08333333333333333
23 33 0.14285714285714285
23 51 0.1111111111111111
23 71 0.16666666666666666
23 124 0.16666666666666666
23 87 0.06666666666666667
23 12 0.038461538461538464
23 77 0.25
24 18 0.043478260869565216
24 147 0.5
24 133 0.14285714285714285
24 86 0.25
24 34 0.1111111111111111
24 29 0.14285714285714285
25 17 0.058823529411764705
25 150 0.2
25 40 0.07692307692307693
25 26 0.05555555555555555
25 203 0.25
25 31 0.16666666666666666
26 145 0.1111111111111111
26 84 0.125
26 223 0.058823529411764705
26 207 0.14285714285714285
26 25 0.07692307692307693
26 42 0.07692307692307693
26 171 0.1111111111111111
26 14 0.03571428571428571
26 191 0.25
27 104 0.25
27 136 0.16666666666666666
27 52 0.0625
27 13 0.047619047619047616
27 166 0.5
28 89 0.0625
28 18 0.043478260869565216
28 107 0.3333333333333333
28 204 0.3333333333333333
28 130 0.08333333333333333
29 24 0.08333333333333333
29 149 0.25
30 128 0.16666666666666666
30 66 0.09090909090909091
30 67 0.2
30 38 0.2
30 173 0.2
30 79 0.16666666666666666
30 48 0.1
