#ignore first line
1 2 0.2
1 3 0.2
1 4 0.16666666666666666
2 1 0.16666666666666666
2 4 0.16666666666666666
3 1 0.16666666666666666
3 2 0.2
3 6 0.07142857142857142
4 1 0.16666666666666666
4 2 0.2
4 5 0.5
5 4 0.16666666666666666
6 465 0.07142857142857142
6 3 0.2
6 7 0.14285714285714285
6 8 0.2
6 10 0.1111111111111111
6 264 0.027777777777777776
6 13 0.024390243902439025
7 10 0.1111111111111111
7 12 0.2
7 6 0.07142857142857142
8 9 0.5
8 6 0.07142857142857142
9 8 0.2
10 11 0.3333333333333333
10 12 0.2
10 6 0.07142857142857142
10 7 0.14285714285714285
11 10 0.1111111111111111
12 10 0.1111111111111111
12 11 0.3333333333333333
12 7 0.14285714285714285
13 99 0.1111111111111111
13 6 0.07142857142857142
13 103 0.1
13 8 0.2
13 10 0.1111111111111111
13 40 0.3333333333333333
13 110 0.25
13 14 0.05263157894736842
13 15 0.14285714285714285
13 16 0.1111111111111111
13 49 0.0625
13 18 0.05555555555555555
13 83 0.06666666666666667
13 20 0.058823529411764705
13 21 0.06666666666666667
13 22 0.06666666666666667
13 27 0.04
13 94 0.125
13 127 0.3333333333333333
14 17 0.045454545454545456
14 50 0.16666666666666666
14 24 0.08333333333333333
14 65 0.08333333333333333
14 58 0.14285714285714285
14 161 0.1
14 13 0.024390243902439025
14 47 0.05555555555555555
15 113 0.5
15 28 0.038461538461538464
15 13 0.024390243902439025
16 41 0.5
16 13 0.024390243902439025
16 143 0.25
16 192 0.16666666666666666
17 65 0.08333333333333333
17 161 0.1
17 195 0.25
17 69 0.5
17 71 0.1111111111111111
17 120 0.3333333333333333
17 169 0.16666666666666666
17 75 0.1111111111111111
17 14 0.05263157894736842
17 46 0.16666666666666666
18 137 0.2
18 131 0.125
18 87 0.06666666666666667
18 152 0.3333333333333333
18 25 0.09090909090909091
18 13 0.024390243902439025
18 29 0.1
18 48 0.1111111111111111
19 66 0.16666666666666666
19 68 0.16666666666666666
19 61 0.1
19 108 0.125
19 13 0.024390243902439025
19 174 0.2
19 111 0.3333333333333333
19 176 0.25
19 51 0.1
19 56 0.09090909090909091
19 26 0.07142857142857142
19 93 0.5
20 114 0.25
20 196 0.2
20 85 0.16666666666666666
20 23 0.047619047619047616
20 103 0.1
20 13 0.024390243902439025
20 31 0.0625
20 480 0.09090909090909091
21 33 0.25
21 49 0.0625
21 101 0.125
21 184 0.2
21 28 0.038461538461538464
21 13 0.024390243902439025
22 37 0.1111111111111111
22 128 0.08333333333333333
22 13 0.024390243902439025
22 96 0.1
22 45 0.07142857142857142
22 30 0.25
22 32 0.2
23 82 0.07692307692307693
23 20 0.058823529411764705
23 54 0.125
23 215 0.2
23 136 0.1
23 31 0.0625
23 264 0.027777777777777776
23 45 0.07142857142857142
23 79 0.2
23 63 0.125
24 57 0.3333333333333333
24 50 0.16666666666666666
24 149 0.3333333333333333
24 14 0.05263157894736842
24 223 0.3333333333333333
25 18 0.05555555555555555
25 21 0.06666666666666667
25 38 0.1111111111111111
25 34 0.09090909090909091
25 13 0.024390243902439025
25 15 0.14285714285714285
26 19 0.041666666666666664
26 166 0.3333333333333333
26 55 0.25
26 59 0.1111111111111111
26 211 0.5
26 31 0.0625
26 16 0.1111111111111111
27 67 0.125
27 138 0.16666666666666666
27 171 0.16666666666666666
27 173 0.125
27 13 0.024390243902439025
27 112 0.09090909090909091
27 83 0.06666666666666667
27 74 0.07692307692307693
27 128 0.08333333333333333
27 221 0.1
27 222 0.2
27 192 0.16666666666666666
28 129 0.14285714285714285
28 164 0.14285714285714285
28 35 0.05555555555555555
28 36 0.25
28 21 0.06666666666666667
28 148 0.16666666666666666
28 199 0.14285714285714285
28 72 0.16666666666666666
28 43 0.08333333333333333
28 15 0.14285714285714285
29 73 0.3333333333333333
29 18 0.05555555555555555
29 185 0.3333333333333333
29 13 0.024390243902439025
29 39 0.07692307692307693
30 22 0.06666666666666667
31 34 0.09090909090909091
31 20 0.058823529411764705
31 23 0.047619047619047616
31 218 0.3333333333333333
31 201 0.16666666666666666
31 26 0.07142857142857142
31 157 0.2
32 22 0.06666666666666667
33 21 0.06666666666666667
34 89 0.25
34 19 0.041666666666666664
34 31 0.0625
34 25 0.09090909090909091
34 201 0.16666666666666666
34 159 0.25
35 129 0.14285714285714285
35 148 0.16666666666666666
35 165 0.1111111111111111
35 164 0.14285714285714285
35 199 0.14285714285714285
35 28 0.038461538461538464
35 224 0.07692307692307693
36 28 0.038461538461538464
37 44 0.06666666666666667
37 61 0.1
37 22 0.06666666666666667
37 119 0.16666666666666666
37 32 0.2
38 25 0.09090909090909091
38 146 0.16666666666666666
38 60 0.1111111111111111
38 178 0.2
39 49 0.0625
39 198 0.16666666666666666
39 42 0.16666666666666666
39 43 0.08333333333333333
39 29 0.1
39 107 0.25
40 13 0.024390243902439025
40 30 0.25
41 16 0.1111111111111111
42 49 0.0625
42 95 0.2
42 39 0.07692307692307693
43 35 0.05555555555555555
43 21 0.06666666666666667
43 39 0.07692307692307693
43 72 0.16666666666666666
43 28 0.038461538461538464
43 141 0.25
44 115 0.16666666666666666
44 100 0.2
44 37 0.1111111111111111
44 150 0.2
44 140 0.14285714285714285
44 62 0.16666666666666666
44 64 0.14285714285714285
45 209 0.3333333333333333
45 22 0.06666666666666667
45 23 0.047619047619047616
45 155 0.2
45 32 0.2
45 190 0.3333333333333333
45 160 0.3333333333333333
46 17 0.045454545454545456
46 77 0.5
46 14 0.05263157894736842
47 97 0.5
47 193 0.25
47 67 0.125
47 53 0.05
47 118 0.125
47 167 0.125
47 482 0.1
47 14 0.05263157894736842
47 191 0.1111111111111111
48 18 0.05555555555555555
48 133 0.25
48 25 0.09090909090909091
48 109 0.5
48 28 0.038461538461538464
48 29 0.1
49 21 0.06666666666666667
49 39 0.07692307692307693
49 105 0.16666666666666666
49 42 0.16666666666666666
49 43 0.08333333333333333
49 76 0.125
49 13 0.024390243902439025
50 14 0.05263157894736842
50 24 0.08333333333333333
51 26 0.07142857142857142
51 19 0.041666666666666664
51 92 0.125
51 213 0.2
51 158 0.25
52 14 0.05263157894736842
53 17 0.045454545454545456
53 50 0.16666666666666666
53 117 0.125
53 86 0.125
53 65 0.08333333333333333
53 118 0.125
53 126 0.25
53 47 0.05555555555555555
53 96 0.1
54 83 0.06666666666666667
54 23 0.047619047619047616
54 136 0.1
55 26 0.07142857142857142
55 204 0.3333333333333333
56 19 0.041666666666666664
56 68 0.16666666666666666
56 86 0.125
56 183 0.14285714285714285
56 214 0.5
57 46 0.16666666666666666
57 24 0.08333333333333333
58 170 0.3333333333333333
58 14 0.05263157894736842
58 70 0.2
59 26 0.07142857142857142
59 219 0.16666666666666666
59 124 0.16666666666666666
59 78 0.16666666666666666
59 31 0.0625
60 178 0.2
60 187 0.16666666666666666
60 38 0.1111111111111111
61 81 0.5
61 19 0.041666666666666664
61 37 0.1111111111111111
61 131 0.125
61 119 0.16666666666666666
62 44 0.06666666666666667
62 64 0.14285714285714285
63 82 0.07692307692307693
63 54 0.125
63 23 0.047619047619047616
63 136 0.1
64 137 0.2
64 18 0.05555555555555555
64 44 0.06666666666666667
64 62 0.16666666666666666
65 17 0.045454545454545456
65 84 0.16666666666666666
65 53 0.05
65 88 0.5
65 90 0.125
65 14 0.05263157894736842
66 19 0.041666666666666664
66 91 0.5
67 27 0.04
67 197 0.5
67 47 0.05555555555555555
67 200 0.16666666666666666
68 66 0.16666666666666666
68 19 0.041666666666666664
68 56 0.09090909090909091
69 17 0.045454545454545456
70 177 0.3333333333333333
70 58 0.14285714285714285
71 17 0.045454545454545456
71 161 0.1
71 75 0.1111111111111111
71 205 0.3333333333333333
72 43 0.08333333333333333
72 28 0.038461538461538464
72 87 0.06666666666666667
73 29 0.1
74 221 0.1
74 27 0.04
74 173 0.125
74 171 0.16666666666666666
74 112 0.09090909090909091
75 17 0.045454545454545456
75 125 0.25
75 206 0.25
75 71 0.1111111111111111
76 49 0.0625
76 105 0.16666666666666666
76 257 0.125
76 144 0.3333333333333333
77 46 0.16666666666666666
78 59 0.1111111111111111
78 124 0.16666666666666666
78 219 0.16666666666666666
79 83 0.06666666666666667
79 63 0.125
79 23 0.047619047619047616
80 36 0.25
80 35 0.05555555555555555
80 28 0.038461538461538464
80 165 0.1111111111111111
80 199 0.14285714285714285
81 61 0.1
82 106 0.09090909090909091
82 181 0.2
82 23 0.047619047619047616
82 63 0.125
82 102 0.3333333333333333
83 147 0.3333333333333333
83 54 0.125
83 23 0.047619047619047616
83 264 0.027777777777777776
83 121 0.2
83 27 0.04
83 13 0.024390243902439025
83 79 0.2
84 65 0.08333333333333333
84 98 0.5
84 117 0.125
85 179 0.06666666666666667
85 20 0.058823529411764705
85 196 0.2
86 90 0.125
86 53 0.05
86 118 0.125
86 56 0.09090909090909091
87 33 0.25
87 18 0.05555555555555555
87 35 0.05555555555555555
87 156 0.5
87 104 0.25
87 162 0.25
87 210 0.5
87 72 0.16666666666666666
88 65 0.08333333333333333
89 34 0.09090909090909091
89 159 0.25
90 65 0.08333333333333333
90 130 0.5
90 117 0.125
90 86 0.125
91 66 0.16666666666666666
92 51 0.1
92 213 0.2
92 183 0.14285714285714285
93 19 0.041666666666666664
94 99 0.1111111111111111
94 172 0.2
94 13 0.024390243902439025
94 262 0.1111111111111111
95 42 0.16666666666666666
95 198 0.16666666666666666
95 39 0.07692307692307693
96 116 0.5
96 68 0.16666666666666666
96 53 0.05
96 22 0.06666666666666667
96 183 0.14285714285714285
97 47 0.05555555555555555
98 84 0.16666666666666666
99 172 0.2
99 13 0.024390243902439025
99 94 0.125
99 110 0.25
100 44 0.06666666666666667
100 62 0.16666666666666666
101 20 0.058823529411764705
101 122 0.5
101 28 0.038461538461538464
101 21 0.06666666666666667
102 82 0.07692307692307693
103 189 0.2
103 115 0.16666666666666666
103 20 0.058823529411764705
103 13 0.024390243902439025
103 134 0.25
104 135 0.5
104 87 0.06666666666666667
105 49 0.0625
105 123 0.3333333333333333
105 76 0.125
106 82 0.07692307692307693
106 180 0.3333333333333333
106 202 0.3333333333333333
106 154 0.2
106 24 0.08333333333333333
106 493 0.06666666666666667
107 198 0.16666666666666666
107 39 0.07692307692307693
108 19 0.041666666666666664
108 150 0.2
108 176 0.25
109 48 0.1111111111111111
110 99 0.1111111111111111
110 13 0.024390243902439025
111 19 0.041666666666666664
111 108 0.125
112 74 0.07692307692307693
112 27 0.04
112 171 0.16666666666666666
112 168 0.125
113 15 0.14285714285714285
114 179 0.06666666666666667
114 20 0.058823529411764705
115 44 0.06666666666666667
115 100 0.2
115 30 0.25
115 103 0.1
116 96 0.1
117 90 0.125
117 84 0.16666666666666666
117 53 0.05
117 186 0.25
118 139 0.5
118 53 0.05
118 86 0.125
118 47 0.05555555555555555
119 61 0.1
119 37 0.1111111111111111
119 53 0.05
120 17 0.045454545454545456
121 83 0.06666666666666667
121 102 0.3333333333333333
121 142 0.5
122 101 0.125
123 105 0.16666666666666666
123 49 0.0625
124 219 0.16666666666666666
124 59 0.1111111111111111
124 78 0.16666666666666666
