#ignore first line
1 2 0.16666666666666666
1 4 0.5
2 1 0.25
2 3 0.14285714285714285
2 6 0.07692307692307693
3 2 0.16666666666666666
3 5 0.25
3 6 0.07692307692307693
4 1 0.25
5 3 0.14285714285714285
5 6 0.07692307692307693
6 2 0.16666666666666666
6 3 0.14285714285714285
6 5 0.25
6 7 0.16666666666666666
6 8 0.16666666666666666
6 13 0.05263157894736842
7 11 0.5
7 6 0.07692307692307693
8 9 0.16666666666666666
8 6 0.07692307692307693
8 7 0.16666666666666666
9 12 0.2
9 13 0.05263157894736842
9 8 0.16666666666666666
10 6 0.07692307692307693
11 7 0.16666666666666666
12 9 0.16666666666666666
12 13 0.05263157894736842
12 8 0.16666666666666666
13 62 0.25
13 59 0.16666666666666666
13 6 0.07692307692307693
13 9 0.16666666666666666
13 43 0.1
13 12 0.2
13 14 0.07692307692307693
13 15 0.05
13 16 0.027777777777777776
14 18 0.09090909090909091
14 19 0.1
14 221 0.25
14 205 0.25
14 13 0.05263157894736842
14 79 0.1111111111111111
15 17 0.04
15 82 0.125
15 157 0.2
15 116 0.2
15 21 0.1
15 37 0.16666666666666666
15 59 0.16666666666666666
15 124 0.0625
15 13 0.05263157894736842
15 107 0.2
16 70 0.07692307692307693
16 103 0.1
16 201 0.09090909090909091
16 173 0.1
16 108 0.0625
16 13 0.05263157894736842
16 46 0.06666666666666667
16 207 0.14285714285714285
16 48 0.07692307692307693
16 210 0.125
16 23 0.07692307692307693
16 120 0.1111111111111111
16 89 0.1111111111111111
16 61 0.09090909090909091
16 30 0.05
16 224 0.045454545454545456
17 116 0.2
17 182 0.14285714285714285
17 20 0.05263157894736842
17 101 0.125
17 15 0.05
17 135 0.14285714285714285
17 88 0.14285714285714285
17 28 0.1111111111111111
17 31 0.09090909090909091
17 118 0.1111111111111111
18 188 0.16666666666666666
18 51 0.16666666666666666
18 36 0.07692307692307693
18 213 0.5
18 14 0.07692307692307693
19 187 0.5
19 85 0.08333333333333333
19 14 0.07692307692307693
19 55 0.125
19 22 0.05263157894736842
20 17 0.04
20 33 0.2
20 76 0.16666666666666666
20 102 0.14285714285714285
20 40 0.08333333333333333
20 138 0.14285714285714285
20 24 0.07692307692307693
20 111 0.5
20 31 0.09090909090909091
21 17 0.04
21 71 0.07692307692307693
21 37 0.16666666666666666
21 31 0.09090909090909091
21 15 0.05
22 114 0.14285714285714285
22 19 0.1
22 148 0.2
22 85 0.08333333333333333
22 39 0.05555555555555555
22 25 0.09090909090909091
22 117 0.1111111111111111
22 179 0.16666666666666666
23 201 0.09090909090909091
23 173 0.1
23 78 0.05555555555555555
23 16 0.027777777777777776
24 34 0.2
24 20 0.05263157894736842
24 53 0.09090909090909091
24 106 0.3333333333333333
24 27 0.09090909090909091
24 190 0.3333333333333333
25 117 0.1111111111111111
25 179 0.16666666666666666
25 85 0.08333333333333333
25 22 0.05263157894736842
26 17 0.04
26 57 0.1
26 84 0.0625
26 164 0.16666666666666666
26 239 0.07142857142857142
26 66 0.25
26 41 0.16666666666666666
26 74 0.16666666666666666
26 29 0.07142857142857142
26 31 0.09090909090909091
26 128 0.25
27 44 0.1111111111111111
27 223 0.3333333333333333
27 95 0.2
27 24 0.07692307692307693
28 17 0.04
28 118 0.1111111111111111
28 182 0.14285714285714285
29 17 0.04
29 36 0.07692307692307693
29 84 0.0625
29 166 0.5
29 26 0.047619047619047616
29 139 0.2
29 126 0.2
30 108 0.0625
30 68 0.14285714285714285
30 181 0.2
30 262 0.1111111111111111
30 23 0.07692307692307693
30 16 0.027777777777777776
30 32 0.05
30 47 0.125
30 64 0.14285714285714285
31 17 0.04
31 26 0.047619047619047616
31 20 0.05263157894736842
31 21 0.1
31 119 0.5
32 49 0.14285714285714285
32 67 0.06666666666666667
32 149 0.3333333333333333
32 183 0.5
32 40 0.08333333333333333
32 462 0.08333333333333333
32 30 0.05
32 224 0.045454545454545456
33 20 0.05263157894736842
33 54 0.125
34 209 0.5
34 27 0.09090909090909091
34 24 0.07692307692307693
35 178 0.25
35 144 0.14285714285714285
35 38 0.08333333333333333
35 194 0.16666666666666666
35 60 0.058823529411764705
35 13 0.05263157894736842
35 14 0.07692307692307693
35 200 0.2
35 32 0.05
36 137 0.5
36 18 0.09090909090909091
36 123 0.2
36 92 0.16666666666666666
36 29 0.07142857142857142
37 84 0.0625
37 21 0.1
37 15 0.05
38 193 0.14285714285714285
38 35 0.06666666666666667
38 86 0.043478260869565216
38 122 0.5
38 46 0.06666666666666667
38 32 0.05
39 81 0.1111111111111111
39 22 0.05263157894736842
39 152 0.14285714285714285
39 25 0.09090909090909091
39 42 0.08333333333333333
39 91 0.14285714285714285
39 216 0.125
39 45 0.1
39 110 0.125
40 20 0.05263157894736842
40 156 0.2
40 171 0.25
40 108 0.0625
40 31 0.09090909090909091
40 32 0.05
41 26 0.047619047619047616
41 63 0.5
41 18 0.09090909090909091
42 114 0.14285714285714285
42 45 0.1
42 39 0.05555555555555555
42 152 0.14285714285714285
43 121 0.2
43 125 0.1111111111111111
43 195 0.25
43 13 0.05263157894736842
43 257 0.07142857142857142
44 27 0.09090909090909091
44 52 0.09090909090909091
44 56 0.0625
45 42 0.08333333333333333
45 90 0.125
45 39 0.05555555555555555
45 50 0.07692307692307693
46 176 0.25
46 70 0.07692307692307693
46 23 0.07692307692307693
46 73 0.14285714285714285
46 154 0.25
46 16 0.027777777777777776
46 30 0.05
46 38 0.08333333333333333
47 100 0.09090909090909091
47 109 0.14285714285714285
47 30 0.05
48 210 0.125
48 163 0.125
48 173 0.1
48 78 0.05555555555555555
48 16 0.027777777777777776
49 67 0.06666666666666667
49 69 0.14285714285714285
49 32 0.05
50 81 0.1111111111111111
50 39 0.05555555555555555
50 152 0.14285714285714285
50 42 0.08333333333333333
50 91 0.14285714285714285
50 45 0.1
50 110 0.125
51 41 0.16666666666666666
51 18 0.09090909090909091
51 36 0.07692307692307693
52 58 0.125
52 27 0.09090909090909091
52 44 0.1111111111111111
52 75 0.14285714285714285
52 56 0.0625
53 105 0.16666666666666666
53 98 0.16666666666666666
53 129 0.5
53 20 0.05263157894736842
53 24 0.07692307692307693
54 33 0.2
54 99 0.25
55 25 0.09090909090909091
55 202 0.16666666666666666
55 19 0.1
55 22 0.05263157894736842
55 198 0.14285714285714285
56 113 0.1111111111111111
56 192 0.14285714285714285
56 52 0.09090909090909091
56 44 0.1111111111111111
56 94 0.25
56 159 0.5
56 142 0.25
57 26 0.047619047619047616
57 80 0.5
57 125 0.1111111111111111
57 239 0.07142857142857142
57 74 0.16666666666666666
58 177 0.2
58 52 0.09090909090909091
58 44 0.1111111111111111
58 172 0.3333333333333333
59 204 0.5
59 13 0.05263157894736842
59 15 0.05
60 178 0.25
60 35 0.06666666666666667
60 194 0.16666666666666666
60 90 0.125
60 155 0.09090909090909091
60 200 0.2
60 203 0.16666666666666666
60 144 0.14285714285714285
61 65 0.16666666666666666
61 85 0.08333333333333333
61 23 0.07692307692307693
61 72 0.1111111111111111
61 73 0.14285714285714285
61 16 0.027777777777777776
62 13 0.05263157894736842
62 198 0.14285714285714285
63 41 0.16666666666666666
64 100 0.09090909090909091
64 109 0.14285714285714285
64 30 0.05
65 51 0.16666666666666666
65 61 0.09090909090909091
65 70 0.07692307692307693
65 16 0.027777777777777776
66 26 0.047619047619047616
66 164 0.16666666666666666
67 49 0.14285714285714285
67 133 0.125
67 86 0.043478260869565216
67 197 0.25
67 77 0.1111111111111111
67 174 0.3333333333333333
67 32 0.05
68 100 0.09090909090909091
68 30 0.05
68 64 0.14285714285714285
69 49 0.14285714285714285
69 99 0.25
69 60 0.058823529411764705
69 32 0.05
70 65 0.16666666666666666
70 145 0.5
70 51 0.16666666666666666
70 132 0.5
70 208 0.5
70 46 0.06666666666666667
70 16 0.027777777777777776
71 465 0.08333333333333333
71 185 0.2
71 83 0.25
71 53 0.09090909090909091
71 105 0.16666666666666666
71 21 0.1
71 96 0.125
72 97 0.3333333333333333
72 61 0.09090909090909091
72 175 0.5
