500 1689
0 1 0.2
0 2 0.16666666666666666
1 0 0.25
1 3 0.5
2 0 0.25
2 4 0.5
2 5 0.1
3 1 0.2
4 2 0.16666666666666666
5 1 0.2
5 2 0.16666666666666666
5 10 0.25
5 6 0.1
5 7 0.5
6 8 0.25
6 9 0.14285714285714285
6 11 0.3333333333333333
6 12 0.038461538461538464
6 5 0.1
7 5 0.1
8 9 0.14285714285714285
8 6 0.1
9 8 0.25
9 10 0.25
9 6 0.1
10 9 0.14285714285714285
10 5 0.1
11 6 0.1
12 192 0.2
12 11 0.3333333333333333
12 5 0.1
12 6 0.1
12 168 0.3333333333333333
12 9 0.14285714285714285
12 43 0.09090909090909091
12 13 0.03225806451612903
12 14 0.047619047619047616
12 19 0.09090909090909091
12 238 0.05263157894736842
12 154 0.25
12 69 0.25
13 33 0.05263157894736842
13 68 0.25
13 102 0.125
13 39 0.05
13 104 0.0625
13 75 0.25
13 12 0.038461538461538464
13 17 0.03225806451612903
13 18 0.04
13 55 0.1
13 24 0.06666666666666667
13 124 0.5
13 158 0.5
13 63 0.25
14 20 0.09090909090909091
14 37 0.058823529411764705
14 31 0.25
14 201 0.25
14 27 0.1
14 12 0.038461538461538464
14 30 0.08333333333333333
14 15 0.05263157894736842
15 16 0.1111111111111111
15 147 0.25
15 37 0.058823529411764705
15 22 0.09090909090909091
15 27 0.1
15 143 0.125
15 14 0.047619047619047616
15 31 0.25
16 176 0.16666666666666666
16 106 0.25
16 46 0.25
16 14 0.047619047619047616
16 15 0.05263157894736842
17 33 0.05263157894736842
17 197 0.25
17 134 0.16666666666666666
17 199 0.25
17 73 0.5
17 79 0.1111111111111111
17 171 0.2
17 141 0.2
17 13 0.03225806451612903
17 18 0.04
17 21 0.047619047619047616
17 26 0.14285714285714285
17 59 0.07692307692307693
17 125 0.16666666666666666
18 96 0.25
18 256 0.1
18 135 0.16666666666666666
18 45 0.06666666666666667
18 13 0.03225806451612903
18 17 0.03225806451612903
18 117 0.14285714285714285
18 23 0.09090909090909091
18 56 0.14285714285714285
18 185 0.25
18 122 0.1111111111111111
18 94 0.5
19 162 0.25
19 155 0.5
19 12 0.038461538461538464
19 38 0.0625
20 65 0.2
20 151 0.2
20 198 0.16666666666666666
20 14 0.047619047619047616
20 15 0.05263157894736842
21 112 0.09090909090909091
21 17 0.03225806451612903
21 34 0.058823529411764705
21 97 0.09090909090909091
21 55 0.1
21 24 0.06666666666666667
21 103 0.3333333333333333
21 136 0.3333333333333333
21 95 0.09090909090909091
21 13 0.03225806451612903
21 29 0.14285714285714285
22 14 0.047619047619047616
22 26 0.14285714285714285
22 28 0.2
22 90 0.14285714285714285
22 30 0.08333333333333333
22 15 0.05263157894736842
23 464 0.08333333333333333
23 18 0.04
23 156 0.2
23 77 0.07142857142857142
24 21 0.047619047619047616
24 40 0.058823529411764705
24 42 0.2
24 172 0.2
24 170 0.3333333333333333
24 13 0.03225806451612903
25 41 0.14285714285714285
25 163 0.07692307692307693
25 20 0.09090909090909091
25 101 0.09090909090909091
25 183 0.125
26 17 0.03225806451612903
26 22 0.09090909090909091
27 159 0.5
27 36 0.058823529411764705
27 61 0.07142857142857142
27 14 0.047619047619047616
27 15 0.05263157894736842
28 40 0.058823529411764705
28 22 0.09090909090909091
29 32 0.09090909090909091
29 21 0.047619047619047616
30 49 0.3333333333333333
30 22 0.09090909090909091
30 118 0.25
30 150 0.3333333333333333
30 40 0.058823529411764705
30 14 0.047619047619047616
31 14 0.047619047619047616
31 15 0.05263157894736842
32 112 0.09090909090909091
32 34 0.058823529411764705
32 78 0.3333333333333333
32 29 0.14285714285714285
32 54 0.3333333333333333
33 17 0.03225806451612903
33 19 0.09090909090909091
33 196 0.3333333333333333
33 165 0.14285714285714285
33 35 0.05263157894736842
33 218 0.25
33 43 0.09090909090909091
33 13 0.03225806451612903
33 223 0.07142857142857142
33 47 0.08333333333333333
34 32 0.09090909090909091
34 67 0.3333333333333333
34 37 0.058823529411764705
34 71 0.16666666666666666
34 24 0.06666666666666667
34 143 0.125
34 29 0.14285714285714285
34 85 0.06666666666666667
34 21 0.047619047619047616
35 80 0.1
35 33 0.05263157894736842
35 51 0.14285714285714285
35 116 0.125
35 181 0.25
35 97 0.09090909090909091
35 72 0.25
35 129 0.16666666666666666
35 206 0.2
36 48 0.1111111111111111
36 27 0.1
36 20 0.09090909090909091
36 163 0.07692307692307693
36 167 0.2
36 123 0.2
36 61 0.07142857142857142
36 221 0.14285714285714285
37 238 0.05263157894736842
37 34 0.058823529411764705
37 35 0.05263157894736842
37 85 0.06666666666666667
37 214 0.5
37 184 0.16666666666666666
37 76 0.2
37 14 0.047619047619047616
37 15 0.05263157894736842
38 19 0.09090909090909091
38 120 0.25
38 121 0.25
38 58 0.16666666666666666
38 187 0.16666666666666666
38 44 0.05263157894736842
38 77 0.07142857142857142
38 47 0.08333333333333333
39 17 0.03225806451612903
39 164 0.16666666666666666
39 84 0.08333333333333333
39 153 0.2
39 216 0.14285714285714285
39 52 0.0625
39 138 0.16666666666666666
39 13 0.03225806451612903
39 169 0.3333333333333333
39 191 0.16666666666666666
40 160 0.2
40 210 0.5
40 115 0.2
40 195 0.25
40 24 0.06666666666666667
40 15 0.05263157894736842
40 28 0.2
40 30 0.08333333333333333
40 95 0.09090909090909091
41 25 0.1
41 183 0.125
41 111 0.1111111111111111
42 24 0.06666666666666667
42 172 0.2
43 33 0.05263157894736842
43 154 0.25
43 83 0.25
43 12 0.038461538461538464
43 131 0.25
44 18 0.04
44 100 0.14285714285714285
44 53 0.0625
44 38 0.0625
44 23 0.09090909090909091
44 194 0.3333333333333333
44 87 0.1111111111111111
44 60 0.14285714285714285
44 175 0.2
44 149 0.5
45 18 0.04
45 117 0.14285714285714285
45 56 0.14285714285714285
45 220 0.25
45 108 0.16666666666666666
45 98 0.25
45 93 0.5
46 16 0.1111111111111111
46 157 0.5
47 202 0.3333333333333333
47 33 0.05263157894736842
47 146 0.3333333333333333
47 77 0.07142857142857142
47 38 0.0625
48 163 0.07692307692307693
48 36 0.058823529411764705
48 221 0.14285714285714285
48 70 0.1111111111111111
49 30 0.08333333333333333
50 132 0.2
50 85 0.06666666666666667
50 24 0.06666666666666667
50 42 0.2
50 107 0.16666666666666666
50 13 0.03225806451612903
50 142 0.14285714285714285
51 89 0.25
51 90 0.14285714285714285
51 35 0.05263157894736842
52 84 0.08333333333333333
52 39 0.05
52 216 0.14285714285714285
52 138 0.16666666666666666
52 77 0.07142857142857142
52 191 0.16666666666666666
53 81 0.1111111111111111
53 66 0.25
53 100 0.14285714285714285
53 57 0.16666666666666666
53 109 0.3333333333333333
53 44 0.05263157894736842
53 82 0.25
53 60 0.14285714285714285
54 32 0.09090909090909091
54 29 0.14285714285714285
55 88 0.25
55 17 0.03225806451612903
55 212 0.5
55 21 0.047619047619047616
55 13 0.03225806451612903
56 209 0.5
56 18 0.04
56 44 0.05263157894736842
56 45 0.06666666666666667
57 53 0.0625
57 127 0.1111111111111111
58 120 0.25
58 187 0.16666666666666666
58 38 0.0625
59 17 0.03225806451612903
59 62 0.1
59 88 0.25
59 74 0.25
59 189 0.14285714285714285
59 126 0.16666666666666666
60 204 0.5
60 44 0.05263157894736842
60 53 0.0625
61 148 0.16666666666666666
61 86 0.2
61 217 0.25
61 152 0.25
61 36 0.058823529411764705
61 27 0.1
61 14 0.047619047619047616
62 64 0.3333333333333333
62 81 0.1111111111111111
62 59 0.07692307692307693
62 211 0.2
62 219 0.3333333333333333
63 68 0.25
63 13 0.03225806451612903
64 62 0.1
65 20 0.09090909090909091
65 198 0.16666666666666666
66 53 0.0625
67 34 0.058823529411764705
68 13 0.03225806451612903
68 63 0.25
69 192 0.2
69 12 0.038461538461538464
70 48 0.1111111111111111
70 123 0.2
70 36 0.058823529411764705
70 221 0.14285714285714285
70 167 0.2
71 41 0.14285714285714285
71 34 0.058823529411764705
71 67 0.3333333333333333
71 133 0.5
72 35 0.05263157894736842
73 17 0.03225806451612903
74 59 0.07692307692307693
