#ignore first line
1 2 0.16666666666666666
1 4 0.3333333333333333
2 1 0.25
2 3 0.16666666666666666
2 6 0.08333333333333333
3 2 0.16666666666666666
3 5 0.25
3 6 0.08333333333333333
4 1 0.25
5 3 0.16666666666666666
5 13 0.034482758620689655
6 2 0.16666666666666666
6 3 0.16666666666666666
6 4 0.3333333333333333
6 7 0.25
6 10 0.16666666666666666
6 11 0.5
7 6 0.08333333333333333
7 8 0.125
8 9 0.16666666666666666
8 13 0.034482758620689655
8 6 0.08333333333333333
8 7 0.25
9 10 0.16666666666666666
9 8 0.125
10 9 0.16666666666666666
10 12 0.3333333333333333
10 6 0.08333333333333333
11 6 0.08333333333333333
12 10 0.16666666666666666
13 34 0.1
13 99 0.25
13 5 0.25
13 8 0.125
13 9 0.16666666666666666
13 202 0.5
13 12 0.3333333333333333
13 14 0.1111111111111111
13 16 0.07142857142857142
13 18 0.25
13 19 0.03571428571428571
13 56 0.1111111111111111
13 73 0.1
13 31 0.03225806451612903
14 133 0.5
14 20 0.2
14 13 0.034482758620689655
14 15 0.041666666666666664
15 41 0.0625
15 203 0.2
15 13 0.034482758620689655
15 14 0.1111111111111111
15 48 0.3333333333333333
15 17 0.07142857142857142
15 19 0.03571428571428571
15 23 0.0625
15 27 0.06666666666666667
15 60 0.08333333333333333
15 95 0.5
15 224 0.06666666666666667
16 34 0.1
16 132 0.25
16 70 0.16666666666666666
16 89 0.125
16 13 0.034482758620689655
16 142 0.25
16 31 0.03225806451612903
17 22 0.045454545454545456
17 55 0.2
17 25 0.07692307692307693
17 45 0.25
17 30 0.1
17 15 0.041666666666666664
18 13 0.034482758620689655
18 32 0.125
19 165 0.16666666666666666
19 39 0.14285714285714285
19 43 0.058823529411764705
19 13 0.034482758620689655
19 15 0.041666666666666664
19 465 0.058823529411764705
19 52 0.1
19 21 0.047619047619047616
19 23 0.0625
19 26 0.07142857142857142
19 218 0.5
19 62 0.06666666666666667
20 41 0.0625
20 14 0.1111111111111111
21 81 0.14285714285714285
21 134 0.25
21 19 0.03571428571428571
21 164 0.3333333333333333
21 86 0.125
21 59 0.05263157894736842
21 205 0.25
21 43 0.058823529411764705
21 94 0.5
21 62 0.06666666666666667
22 17 0.07142857142857142
22 66 0.16666666666666666
22 76 0.07692307692307693
22 146 0.125
22 111 0.16666666666666666
22 105 0.125
22 25 0.07692307692307693
22 58 0.16666666666666666
22 60 0.08333333333333333
22 47 0.08333333333333333
23 129 0.1111111111111111
23 19 0.03571428571428571
23 21 0.047619047619047616
23 24 0.14285714285714285
23 72 0.125
23 29 0.5
23 195 0.125
23 15 0.041666666666666664
24 60 0.08333333333333333
24 23 0.0625
24 72 0.125
25 17 0.07142857142857142
25 51 0.5
25 22 0.045454545454545456
25 23 0.0625
25 153 0.5
25 27 0.06666666666666667
25 28 0.08333333333333333
26 17 0.07142857142857142
26 19 0.03571428571428571
26 68 0.14285714285714285
26 106 0.16666666666666666
26 224 0.06666666666666667
26 30 0.1
26 46 0.09090909090909091
27 113 0.3333333333333333
27 147 0.2
27 116 0.1111111111111111
27 40 0.3333333333333333
27 25 0.07692307692307693
27 203 0.2
27 15 0.041666666666666664
28 35 0.14285714285714285
28 148 0.25
28 183 0.25
28 25 0.07692307692307693
28 42 0.07692307692307693
28 196 0.14285714285714285
29 23 0.0625
30 17 0.07142857142857142
30 26 0.07142857142857142
30 75 0.3333333333333333
30 87 0.25
31 33 0.05555555555555555
31 264 0.034482758620689655
31 176 0.07142857142857142
31 82 0.07142857142857142
31 108 0.2
31 13 0.034482758620689655
31 14 0.1111111111111111
31 16 0.07142857142857142
31 81 0.14285714285714285
31 50 0.25
31 53 0.1111111111111111
31 215 0.125
31 92 0.1111111111111111
31 127 0.125
32 93 0.16666666666666666
32 18 0.25
32 44 0.1111111111111111
32 37 0.16666666666666666
33 257 0.1111111111111111
33 82 0.07142857142857142
33 92 0.1111111111111111
33 38 0.07142857142857142
33 108 0.2
33 31 0.03225806451612903
34 194 0.25
34 179 0.5
34 36 0.25
34 13 0.034482758620689655
34 16 0.07142857142857142
35 28 0.08333333333333333
35 214 0.25
35 208 0.5
36 34 0.1
36 194 0.25
37 112 0.08333333333333333
37 149 0.5
37 32 0.125
38 33 0.05555555555555555
38 41 0.0625
38 92 0.1111111111111111
38 31 0.03225806451612903
38 176 0.07142857142857142
39 19 0.03571428571428571
39 158 0.5
40 27 0.06666666666666667
41 114 0.14285714285714285
41 20 0.2
41 38 0.07142857142857142
41 104 0.0625
41 57 0.3333333333333333
41 31 0.03225806451612903
41 125 0.5
41 15 0.041666666666666664
42 482 0.058823529411764705
42 35 0.14285714285714285
42 28 0.08333333333333333
42 54 0.05263157894736842
42 172 0.5
42 124 0.125
42 110 0.5
43 49 0.09090909090909091
43 19 0.03571428571428571
43 21 0.047619047619047616
43 102 0.2
43 213 0.25
43 76 0.07692307692307693
43 189 0.3333333333333333
43 47 0.08333333333333333
44 187 0.2
44 112 0.08333333333333333
44 103 0.5
44 32 0.125
45 17 0.07142857142857142
45 195 0.125
46 19 0.03571428571428571
46 165 0.16666666666666666
46 39 0.14285714285714285
46 90 0.25
46 26 0.07142857142857142
46 30 0.1
47 43 0.058823529411764705
47 204 0.14285714285714285
47 109 0.25
47 22 0.045454545454545456
47 80 0.125
48 13 0.034482758620689655
48 15 0.041666666666666664
49 211 0.16666666666666666
49 138 0.14285714285714285
49 43 0.058823529411764705
49 61 0.25
49 123 0.3333333333333333
50 33 0.05555555555555555
50 31 0.03225806451612903
51 25 0.07692307692307693
52 129 0.1111111111111111
52 19 0.03571428571428571
52 141 0.14285714285714285
52 62 0.06666666666666667
52 171 0.5
53 74 0.16666666666666666
53 79 0.1
53 31 0.03225806451612903
53 96 0.5
54 493 0.09090909090909091
54 84 0.14285714285714285
54 182 0.125
54 170 0.25
54 42 0.07692307692307693
54 157 0.16666666666666666
54 78 0.1111111111111111
54 63 0.16666666666666666
55 17 0.07142857142857142
55 160 0.1111111111111111
56 73 0.1
56 19 0.03571428571428571
56 13 0.034482758620689655
56 126 0.1111111111111111
56 64 0.16666666666666666
57 41 0.0625
58 117 0.07692307692307693
58 22 0.045454545454545456
58 111 0.16666666666666666
59 98 0.14285714285714285
59 83 0.2
59 69 0.06666666666666667
59 22 0.045454545454545456
59 21 0.047619047619047616
59 91 0.09090909090909091
59 76 0.07692307692307693
59 219 0.2
60 104 0.0625
60 77 0.25
60 22 0.045454545454545456
60 15 0.041666666666666664
60 24 0.14285714285714285
61 49 0.09090909090909091
61 130 0.16666666666666666
62 116 0.1111111111111111
62 19 0.03571428571428571
62 52 0.1
62 21 0.047619047619047616
62 71 0.14285714285714285
62 217 0.25
62 106 0.16666666666666666
63 65 0.1
63 115 0.5
63 54 0.05263157894736842
64 73 0.1
64 126 0.1111111111111111
64 56 0.1111111111111111
65 163 0.1111111111111111
65 78 0.1111111111111111
65 63 0.16666666666666666
65 159 0.14285714285714285
66 22 0.045454545454545456
66 111 0.16666666666666666
67 182 0.125
67 84 0.14285714285714285
67 157 0.16666666666666666
67 54 0.05263157894736842
67 174 0.16666666666666666
68 177 0.3333333333333333
68 26 0.07142857142857142
68 186 0.3333333333333333
69 98 0.14285714285714285
69 181 0.16666666666666666
69 146 0.125
69 137 0.16666666666666666
69 59 0.05263157894736842
69 156 0.09090909090909091
69 91 0.09090909090909091
70 89 0.125
70 142 0.25
70 16 0.07142857142857142
71 217 0.25
